,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
9633,X5  II (E70) 48i,879000.0,2007.0,167293.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,4.8,355,Бензин,1
9634,Rover Freelander I Рестайлинг,300000.0,2004.0,126101.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Land,внедорожник,5,2.5,177,Бензин,1
9635,Hatch  II (R56) Рестайлинг One,619000.0,2010.0,119761.0,коричневый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,MINI,хэтчбек,3,1.6,98,Бензин,1
9636,Focus III Рестайлинг,815000.0,2018.0,39000.0,белый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Ford,универсал,5,1.6,105,Бензин,1
9637,Countryman  II Cooper D,1869000.0,2017.0,78363.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,MINI,внедорожник,5,2.0,150,Дизель,1
9638,A4 IV (B8),999000.0,2011.0,94144.0,белый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,седан,4,2.0,211,Бензин,1
9639,BLS,440000.0,2007.0,220000.0,синий,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Cadillac,седан,4,2.0,210,Бензин,1
9640,CR-V II,463000.0,2002.0,176556.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Honda,внедорожник,5,2.4,162,Бензин,1
9641,Sandero II Рестайлинг,770000.0,2019.0,21405.0,бежевый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,хэтчбек,5,1.6,113,Бензин,1
9642,GLA  I (X156) Рестайлинг 250,2199000.0,2017.0,35259.0,серый,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,2.0,211,Бензин,1
9643,(ВАЗ) Largus I Cross,410000.0,2015.0,205000.0,серый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,универсал,5,1.6,105,Бензин,1
9644,X4  I (F26) 28i,1963832.0,2014.0,74900.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,BMW,внедорожник,5,2.0,245,Бензин,1
9645,"E-Класс  IV (W212, S212, C207) Рестайлинг 250 CDI",1675000.0,2013.0,143241.0,белый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,2.1,204,Дизель,1
9646,E-Класс AMG  V (W213) 43 AMG,3850000.0,2018.0,70800.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mercedes-Benz,седан,4,3.0,401,Бензин,1
9647,Continental GT I,2105666.0,2004.0,30540.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Bentley,купе,2,6.0,560,Бензин,1
9648,107 I,249000.0,2008.0,99400.0,голубой,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Peugeot,хэтчбек,5,1.0,68,Бензин,1
9649,Terrano III (D10),757000.0,2015.0,115610.0,серый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Nissan,внедорожник,5,1.6,102,Бензин,1
9650,Passat B8,1699000.0,2017.0,85903.0,чёрный,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Volkswagen,седан,4,2.0,150,Дизель,1
9651,Fabia II,268400.0,2010.0,119700.0,серый,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Skoda,хэтчбек,5,1.2,70,Бензин,1
9652,A5 I (8T) Рестайлинг,1070000.0,2012.0,156151.0,коричневый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,купе,2,2.0,211,Бензин,1
9653,GLA  I (X156) Рестайлинг 200,1650000.0,2018.0,45000.0,синий,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,1.6,150,Бензин,1
9654,Kyron I Рестайлинг,629000.0,2012.0,179698.0,серый,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,SsangYong,внедорожник,5,2.3,150,Бензин,1
9655,Grand Starex I Рестайлинг 2,2899000.0,2018.0,19478.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,минивэн,5,2.5,145,Дизель,1
9656,Qashqai+2 I Рестайлинг,749000.0,2012.0,93000.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,141,Бензин,1
9657,GLE  I (W166) 350 d,3309000.0,2016.0,73441.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,3.0,249,Дизель,1
9658,V40 Cross Country I Рестайлинг,1719000.0,2018.0,28700.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,хэтчбек,5,1.5,152,Бензин,1
9659,Passat B8 Alltrack,1620500.0,2017.0,197504.0,серый,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,универсал,5,2.0,190,Дизель,1
9660,Ceed II Рестайлинг,849000.0,2016.0,151992.0,чёрный,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,универсал,5,1.6,135,Бензин,1
9661,Q7 II (4M),3179000.0,2016.0,72800.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Audi,внедорожник,5,3.0,249,Дизель,1
9662,CR-V V,2090000.0,2017.0,49500.0,красный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Honda,внедорожник,5,2.0,150,Бензин,1
9663,Rapid I Рестайлинг,919000.0,2019.0,35700.0,чёрный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,лифтбек,5,1.6,90,Бензин,1
9664,(ВАЗ) 2115,55000.0,2009.0,170000.0,серебристый,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,LADA,седан,4,1.6,81,Бензин,1
9665,Sorento III Prime Рестайлинг,2359000.0,2018.0,45000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,внедорожник,5,3.5,249,Бензин,1
9666,i20 I,290000.0,2009.0,140000.0,серый,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Hyundai,хэтчбек,3,1.4,100,Бензин,1
9667,Golf VII,849000.0,2013.0,103200.0,серый,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,хэтчбек,5,1.4,122,Бензин,1
9668,A5 Sportback II (F5),2725000.0,2018.0,19000.0,красный,роботизированная,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Audi,лифтбек,5,2.0,190,Дизель,1
9669,Q3 I (8U),1099000.0,2012.0,106000.0,чёрный,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,внедорожник,5,2.0,211,Бензин,1
9670,Polo V,517000.0,2014.0,82468.0,синий,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.6,105,Бензин,1
9671,6 II (GH) Рестайлинг,949000.0,2012.0,38000.0,синий,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,седан,4,2.0,147,Бензин,1
9672,Logan I Рестайлинг,355000.0,2011.0,83000.0,синий,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,седан,4,1.6,102,Бензин,1
9673,Astra J Рестайлинг,575000.0,2014.0,185473.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Opel,универсал,5,1.4,140,Бензин,1
9674,GLA  I (X156) Рестайлинг 200,1729000.0,2018.0,54331.0,синий,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,1.6,150,Бензин,1
9675,Sonata VIII (DN8),1699000.0,2020.0,6385.0,синий,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,2.0,150,Бензин,1
9676,Nexia I Рестайлинг,125000.0,2012.0,191000.0,голубой,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Daewoo,седан,4,1.5,80,Бензин,1
9677,Logan II,575000.0,2017.0,107257.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,седан,4,1.6,82,Бензин,1
9678,Focus III Рестайлинг,795000.0,2019.0,31164.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Ford,универсал,5,1.6,105,Бензин,1
9679,Scorpio II,149000.0,1998.0,278000.0,чёрный,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Ford,седан,4,2.3,147,Бензин,1
9680,Optima IV Рестайлинг,1429000.0,2018.0,99994.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,седан,4,2.0,245,Бензин,1
9681,A5 II (F5),2229781.0,2016.0,92445.0,коричневый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,купе,2,2.0,249,Бензин,1
9682,Focus III,475000.0,2013.0,75854.0,синий,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Ford,хэтчбек,5,1.6,105,Бензин,1
9683,Wall Hover,409000.0,2006.0,69675.0,серый,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Great,внедорожник,5,2.4,130,Бензин,1
9684,i20 I,399000.0,2009.0,138000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,хэтчбек,3,1.6,126,Бензин,1
9685,Solaris I Рестайлинг,459000.0,2016.0,147027.0,серый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.4,107,Бензин,1
9686,C4 II Рестайлинг,939000.0,2017.0,66100.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Citroen,седан,4,1.6,115,Бензин,1
9687,Niva I Рестайлинг,314750.0,2013.0,137000.0,серый,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Chevrolet,внедорожник,5,1.7,80,Бензин,1
9688,Outlander III,1096000.0,2013.0,178465.0,белый,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.0,146,Бензин,1
9689,Optima IV Рестайлинг,1225000.0,2019.0,58600.0,белый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,седан,4,2.0,150,Бензин,1
9690,Fabia II Рестайлинг,464000.0,2013.0,132000.0,зелёный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,хэтчбек,5,1.4,86,Бензин,1
9691,Q5 I (8R) Рестайлинг,1550000.0,2013.0,105495.0,коричневый,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Audi,внедорожник,5,2.0,177,Дизель,1
9692,A3 Sportback III (8V),969000.0,2015.0,93350.0,пурпурный,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Audi,хэтчбек,5,1.2,110,Бензин,1
9693,Explorer V Рестайлинг,2369000.0,2017.0,101300.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Ford,внедорожник,5,3.5,249,Бензин,1
9694,Rover Range Rover IV,3240000.0,2014.0,140000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Land,внедорожник,5,3.0,248,Дизель,1
9695,CL-Класс AMG  II (C216) 63 AMG,1265679.0,2007.0,154000.0,чёрный,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,купе-хардтоп,No_inf,6.2,525,Бензин,1
9696,Rapid I,689000.0,2016.0,28000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,лифтбек,5,1.6,90,Бензин,1
9697,A3 III (8V) Рестайлинг,1625000.0,2019.0,36700.0,синий,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Audi,седан,4,1.4,150,Бензин,1
9698,Santa Fe III,1099000.0,2014.0,128000.0,белый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,внедорожник,5,2.4,175,Бензин,1
9699,Polo V Рестайлинг,699000.0,2017.0,95553.0,чёрный,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.4,125,Бензин,1
9700,QX70,2880000.0,2015.0,54180.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Infiniti,внедорожник,5,3.7,333,Бензин,1
9701,Aveo I,299000.0,2007.0,206000.0,красный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,хэтчбек,5,1.4,94,Бензин,1
9702,Solaris I Рестайлинг,555000.0,2016.0,83000.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.4,107,Бензин,1
9703,Elantra IV (HD),454000.0,2010.0,162683.0,синий,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,1.6,122,Бензин,1
9704,X1  II (F48) 18d xDrive,1980000.0,2017.0,80000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,2.0,150,Дизель,1
9705,3 серии  VI (F3x) 320i,1015000.0,2012.0,106807.0,белый,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,BMW,седан,4,2.0,184,Бензин,1
9706,MKT I,978000.0,2010.0,259648.0,белый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Lincoln,внедорожник,5,3.7,274,Бензин,1
9707,"E-Класс  IV (W212, S212, C207) 250",1164900.0,2010.0,73850.0,белый,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен,Mercedes-Benz,купе-хардтоп,No_inf,1.8,204,Бензин,1
9708,6 III (GJ),975000.0,2014.0,157000.0,красный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mazda,седан,4,2.0,150,Бензин,1
9709,Passat B8,1339000.0,2017.0,81090.0,коричневый,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,седан,4,1.4,150,Бензин,1
9710,7 серии Long VI (G11/G12) Рестайлинг 750Ld xDrive,7499999.0,2019.0,33270.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,седан,4,3.0,400,Дизель,1
9711,Touareg II Рестайлинг,2485000.0,2015.0,87099.0,серебристый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Volkswagen,внедорожник,5,3.0,245,Дизель,1
9712,X5  III (F15) 30d,3999000.0,2017.0,32824.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,3.0,249,Дизель,1
9713,XC60 I Рестайлинг,1390000.0,2014.0,218000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,2.4,181,Дизель,1
9714,Q3 I (8U),1239000.0,2014.0,103139.0,белый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,внедорожник,5,2.0,170,Бензин,1
9715,Avensis I Рестайлинг,239700.0,2002.0,272704.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,2.0,128,Бензин,1
9716,Touran I Рестайлинг,459000.0,2008.0,172000.0,серебристый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,компактвэн,No_inf,2.0,140,Дизель,1
9717,Outlander III Рестайлинг 2,1299000.0,2016.0,89000.0,чёрный,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.0,146,Бензин,1
9718,Tiguan I,699000.0,2010.0,172642.0,золотистый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,внедорожник,5,2.0,140,Дизель,1
9719,Pathfinder III,899000.0,2008.0,211104.0,серебристый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,внедорожник,5,2.5,174,Дизель,1
9720,Soul III,1098000.0,2019.0,12170.0,белый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,123,Бензин,1
9721,Yeti I Рестайлинг,855000.0,2016.0,237543.0,белый,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,внедорожник,5,1.8,152,Бензин,1
9722,Octavia I (A4) Рестайлинг,260000.0,2007.0,166000.0,серый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,лифтбек,5,1.4,75,Бензин,1
9723,Polo V Рестайлинг,810000.0,2017.0,60000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.6,110,Бензин,1
9724,Corsa D Рестайлинг II,499000.0,2012.0,78500.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Opel,хэтчбек,3,1.4,100,Бензин,1
9725,Sandero I Stepway,419000.0,2011.0,70500.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,хэтчбек,5,1.6,84,Бензин,1
9726,Challenger  III Рестайлинг 2 R__T,4850000.0,2018.0,16000.0,красный,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Dodge,купе,2,6.4,492,Бензин,1
9727,Lanos I,90000.0,2007.0,153000.0,красный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,1.5,86,Бензин,1
9728,Jetta VI Рестайлинг,695000.0,2016.0,173222.0,серебристый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.4,125,Бензин,1
9729,Fabia II Рестайлинг,327000.0,2010.0,181000.0,красный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,хэтчбек,5,1.2,70,Бензин,1
9730,Pathfinder II,399000.0,2001.0,190700.0,золотистый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,3.3,170,Бензин,1
9731,Accent  II ТагАЗ,179000.0,2007.0,100000.0,серебристый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,1.5,102,Бензин,1
9732,Cayenne  II Рестайлинг (958) Diesel,3590000.0,2015.0,61917.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Porsche,внедорожник,5,3.0,245,Дизель,1
9733,3 серии  V (E90/E91/E92/E93) Рестайлинг 318i,724000.0,2010.0,107000.0,белый,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,седан,4,2.0,136,Бензин,1
9734,H-1 II Рестайлинг,1539000.0,2016.0,117048.0,чёрный,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,минивэн,5,2.5,170,Дизель,1
9735,CX-5 II,1789000.0,2018.0,50500.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.0,150,Бензин,1
9736,Sorento II Рестайлинг,1199000.0,2013.0,124000.0,синий,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Kia,внедорожник,5,2.4,175,Бензин,1
9737,Ceed I,444000.0,2008.0,137000.0,синий,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,универсал,5,1.6,122,Бензин,1
9738,V-Класс L II 200 d длинный,2739000.0,2016.0,76000.0,чёрный,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,минивэн,5,2.1,136,Дизель,1
9739,Pilot II,729000.0,2008.0,226728.0,серебристый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Honda,внедорожник,5,3.5,257,Бензин,1
9740,A5 I (8T) Рестайлинг,1110500.0,2014.0,127500.0,пурпурный,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,купе,2,1.8,170,Бензин,1
9741,Rover Discovery Sport I,1820000.0,2015.0,85220.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Land,внедорожник,5,2.0,240,Бензин,1
9742,Qashqai I,545000.0,2008.0,169216.0,серебристый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,141,Бензин,1
9743,Astra H Рестайлинг GTC,319000.0,2010.0,156238.0,красный,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Opel,хэтчбек,3,1.6,115,Бензин,1
9744,Vito L3 II (W639) Рестайлинг 113 CDI L3,869000.0,2011.0,127438.0,белый,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,минивэн,5,2.1,136,Дизель,1
9745,A7 I (4G) Рестайлинг,2171250.0,2015.0,120400.0,серый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,лифтбек,5,2.0,249,Бензин,1
9746,CX-7 I,529000.0,2008.0,97000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mazda,внедорожник,5,2.3,238,Бензин,1
9747,Patriot  I 3163,250000.0,2010.0,143000.0,чёрный,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,УАЗ,внедорожник,5,2.7,128,Бензин,1
9748,Sandero II Stepway,735000.0,2017.0,68000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,хэтчбек,5,1.6,102,Бензин,1
9749,X-Trail III,1530000.0,2016.0,68888.0,зелёный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,2.5,171,Бензин,1
9750,Creta I,1155000.0,2018.0,32245.0,коричневый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,1.6,123,Бензин,1
9751,Rapid I Рестайлинг,945000.0,2018.0,1020.0,красный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,лифтбек,5,1.6,110,Бензин,1
9752,Outlander III Рестайлинг 2,1135000.0,2015.0,153723.0,чёрный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.0,146,Бензин,1
9753,3 I (BK),378000.0,2004.0,127154.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,седан,4,2.0,150,Бензин,1
9754,Escalade IV,3880000.0,2016.0,60000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Cadillac,внедорожник,5,6.2,409,Бензин,1
9755,X5  IV (G05) 30d,5500000.0,2018.0,50000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,3.0,249,Дизель,1
9756,X3  II (F25) Рестайлинг 30d xDrive,2679000.0,2017.0,92840.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,3.0,249,Дизель,1
9757,Solaris II,820000.0,2018.0,91423.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.6,123,Бензин,1
9758,Murano I (Z50),569000.0,2008.0,133000.0,чёрный,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,внедорожник,5,3.5,234,Бензин,1
9759,on-DO I,299000.0,2014.0,116124.0,коричневый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Datsun,седан,4,1.6,87,Бензин,1
9760,Rover Range Rover Evoque  I 6-speed,1448000.0,2012.0,119020.0,зелёный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Land,внедорожник,5,2.2,150,Дизель,1
9761,Hatch  II (R56) Рестайлинг One,634000.0,2010.0,82936.0,белый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,MINI,хэтчбек,3,1.6,98,Бензин,1
9762,"E-Класс  III (W211, S211) 200",425000.0,2003.0,318000.0,бежевый,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,1.8,163,Бензин,1
9763,Land Cruiser Prado 150 Series Рестайлинг 1,2315000.0,2015.0,215674.0,серый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,Toyota,внедорожник,5,3.0,173,Дизель,1
9764,Civic VIII Рестайлинг,550000.0,2009.0,186000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Honda,седан,4,1.8,140,Бензин,1
9765,V40 II,799000.0,2013.0,200000.0,белый,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,хэтчбек,5,1.6,115,Дизель,1
9766,XC60 I Рестайлинг,2039000.0,2017.0,110700.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,2.4,190,Дизель,1
9767,Polo V Рестайлинг,749000.0,2017.0,31000.0,коричневый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,седан,4,1.6,110,Бензин,1
9768,Cruze I,429000.0,2012.0,149000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,хэтчбек,5,1.6,109,Бензин,1
9769,CX-7 I Рестайлинг,650100.0,2010.0,154585.0,белый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,внедорожник,5,2.3,238,Бензин,1
9770,Matiz I Рестайлинг Best,249857.0,2012.0,60298.0,голубой,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Daewoo,хэтчбек,5,1.0,64,Бензин,1
9771,Rio  III 4-speed,450000.0,2012.0,118497.0,синий,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,седан,4,1.6,123,Бензин,1
9772,Lacetti,219700.0,2008.0,266328.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,хэтчбек,5,1.6,109,Бензин,1
