,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
82,GLE Coupe  II (C167) 400 d,8024000.0,2019.0,3000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,2.9,330,Дизель,1
83,Matiz I Рестайлинг,150000.0,2012.0,78525.0,красный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Daewoo,хэтчбек,5,0.8,52,Бензин,1
84,Camry VII (XV50),990000.0,2012.0,155000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Toyota,седан,4,2.0,148,Бензин,1
85,C-Класс  III (W204) 200,750000.0,2011.0,192000.0,коричневый,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,1.8,184,Бензин,1
86,(ВАЗ) Priora I,264000.0,2012.0,57000.0,серебристый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,седан,4,1.6,98,Бензин,1
88,Fusion I Рестайлинг,289890.0,2006.0,140000.0,голубой,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Ford,хэтчбек,5,1.4,80,Бензин,1
89,Elantra VI (AD),1050000.0,2018.0,83000.0,белый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.6,128,Бензин,1
90,(ВАЗ) Priora I Рестайлинг,363148.0,2015.0,76000.0,серебристый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,98,Бензин,1
91,(ВАЗ) 2105,65000.0,2009.0,78000.0,синий,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,73,Бензин,1
92,(ВАЗ) Kalina I,210000.0,2011.0,91000.0,серебристый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,хэтчбек,5,1.4,89,Бензин,1
93,X4  I (F26) 20i,2470000.0,2017.0,90500.0,белый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,2.0,184,Бензин,1
94,Kaptur I,1000000.0,2017.0,71283.0,голубой,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,2.0,143,Бензин,1
95,Octavia III (A7) Рестайлинг,1099000.0,2018.0,33000.0,белый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,лифтбек,5,1.4,150,Бензин,1
96,(ВАЗ) Vesta I SW Cross,749000.0,2017.0,44188.0,белый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,универсал,5,1.8,122,Бензин,1
97,GL-Класс  II (X166) 500,2680000.0,2014.0,98000.0,синий,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,4.7,435,Бензин,1
98,"Corolla  X (E140, E150) AMT",519000.0,2007.0,201000.0,голубой,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,1.6,124,Бензин,1
99,C4 II,409900.0,2011.0,170000.0,белый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Citroen,хэтчбек,5,1.6,120,Бензин,1
100,Rio III,569000.0,2013.0,31295.0,серый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,хэтчбек,5,1.4,107,Бензин,1
101,Pajero Sport II,1300000.0,2011.0,112000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.5,178,Дизель,1
102,6 серии  II (E63/E64) 645i,650000.0,2005.0,160000.0,серебристый,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,BMW,купе,2,4.4,333,Бензин,1
103,(ВАЗ) Vesta I,495000.0,2016.0,82000.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,106,Бензин,1
104,3 I (BK),289000.0,2005.0,249000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,хэтчбек,5,1.6,105,Бензин,1
105,RAV4 III (XA30),690000.0,2008.0,115000.0,синий,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Toyota,внедорожник,5,2.0,152,Бензин,1
106,Niva I Рестайлинг,325550.0,2011.0,111000.0,коричневый,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Chevrolet,внедорожник,5,1.7,80,Бензин,1
107,(ВАЗ) Largus I,560000.0,2018.0,62000.0,белый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,универсал,5,1.6,106,Бензин,1
108,RX  III 270,1399000.0,2010.0,132000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Lexus,внедорожник,5,2.7,188,Бензин,1
109,(ВАЗ) 2114,67000.0,2006.0,300000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,хэтчбек,5,1.5,77,Бензин,1
110,(ВАЗ) Kalina I,160000.0,2010.0,182000.0,зелёный,механическая,передний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен,LADA,хэтчбек,5,1.4,89,Бензин,1
111,Polo V Рестайлинг,650000.0,2016.0,100000.0,синий,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,седан,4,1.6,110,Бензин,1
112,Rio III Рестайлинг,737500.0,2017.0,72000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,седан,4,1.6,123,Бензин,1
113,Lacetti,404900.0,2011.0,105000.0,серый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,хэтчбек,5,1.6,109,Бензин,1
114,CX-5 II,1700000.0,2017.0,70000.0,красный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.5,194,Бензин,1
115,Sportage IV,1510000.0,2016.0,71000.0,серый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,внедорожник,5,2.0,150,Бензин,1
116,Solaris I Рестайлинг,625000.0,2016.0,43000.0,серебристый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.4,107,Бензин,1
117,Nexia I,67000.0,2005.0,168000.0,синий,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Daewoo,седан,4,1.5,90,Бензин,1
118,Polo V Рестайлинг,789000.0,2017.0,64000.0,белый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,седан,4,1.6,110,Бензин,1
119,(ВАЗ) XRAY I,595000.0,2018.0,33000.0,серебристый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,хэтчбек,5,1.6,106,Бензин,1
120,GLS  I (X166) 350 d,4850000.0,2018.0,69000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,3.0,249,Дизель,1
121,(ВАЗ) 2131 (4x4) I,254000.0,2013.0,85000.0,красный,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,внедорожник,5,1.7,83,Бензин,1
122,Grand Cherokee IV (WK2),980000.0,2010.0,240000.0,серебристый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Jeep,внедорожник,5,3.6,286,Бензин,1
123,ix35 I Рестайлинг,1459900.0,2014.0,122000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,2.0,150,Бензин,1
124,G-Класс  II (W463) Рестайлинг 3 350 CDI BlueTEC,4000000.0,2014.0,108000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,внедорожник,5,3.0,211,Дизель,1
126,Patrol V (Y61),1200000.0,2001.0,226000.0,зелёный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Nissan,внедорожник,3,3.0,158,Дизель,1
127,Rio IV,800000.0,2018.0,73880.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,седан,4,1.6,123,Бензин,1
128,C5 I,160000.0,2003.0,345000.0,серый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Citroen,лифтбек,5,2.2,133,Дизель,1
129,(ВАЗ) 2110,65000.0,2003.0,109000.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,седан,4,1.5,90,Бензин,1
130,(ВАЗ) Priora I Рестайлинг,245000.0,2013.0,90000.0,белый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,хэтчбек,5,1.6,98,Бензин,1
