,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,VIN,Госномер,Владение,Обмен,Кузов №,Гарантия,Запас хода
1126,Nissan Murano I (Z50),https://auto.ru/cars/used/sale/nissan/murano/1101305189-a1d06eeb/,340 000 ₽,2003,170 000 км,внедорожник 5 дв.,серебристый,3.5 л / 248 л.с. / Бензин,18 600 ₽ / год,вариатор,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,JN8**************,******|164,,,,,
1127,Toyota Celica VI (T200) Рестайлинг,https://auto.ru/cars/used/sale/toyota/celica/1101893544-289dbf8f/,180 000 ₽,1995,199 999 км,хэтчбек 3 дв.,серый,2.0 л / 140 л.с. / Бензин,4 200 ₽ / год,механическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,******|164,,,ST202-0***********,,
1128,LADA (ВАЗ) 21099,https://auto.ru/cars/used/sale/vaz/21099/1102259425-a0a9f42d/,135 000 ₽,2004,166 198 км,седан,синий,1.5 л / 78 л.с. / Бензин,1 092 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,******|64,,Рассмотрю варианты,,,
1129,Mazda 3 I (BK) Рестайлинг,https://auto.ru/cars/used/sale/mazda/3/1096287580-aae61601/,340 000 ₽,2007,158 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,JMZ**************,******|64,1 год и 11 месяцев,,,,
1130,Land Rover Discovery III,https://auto.ru/cars/used/sale/land_rover/discovery/1094928820-17bab7ca/,900 000 ₽,2007,200 000 км,внедорожник 5 дв.,серебристый,2.7 л / 190 л.с. / Дизель,9 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,SAL**************,******|777,1 год и 4 месяца,,,,
1131,Nissan Terrano III (D10),https://auto.ru/cars/used/sale/nissan/terrano/1101996288-fd2372d3/,868 955 ₽,2016,68 463 км,внедорожник 5 дв.,чёрный,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8N**************,,,Рассмотрю варианты,,,
1132,Hyundai Getz I,https://auto.ru/cars/used/sale/hyundai/getz/1085661908-fdfb5f92/,200 000 ₽,2005,100 000 км,хэтчбек 5 дв.,серебристый,1.1 л / 62 л.с. / Бензин,868 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,KMH**************,******|64,4 года и 11 месяцев,,,,
1133,Nissan Pathfinder III Рестайлинг,https://auto.ru/cars/used/sale/nissan/pathfinder/1095451374-28e0a8f3/,1 030 000 ₽,2011,125 000 км,внедорожник 5 дв.,серый,2.5 л / 190 л.с. / Дизель,9 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,VSK**************,******|64,5 лет и 7 месяцев,,,,
1134,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1101739384-55f3cbe3/,430 000 ₽,2012,105 000 км,внедорожник 3 дв.,синий,1.7 л / 83 л.с. / Бензин,1 162 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTA**************,******|64,,,,,
1135,LADA (ВАЗ) 2121 (4x4) I,https://auto.ru/cars/used/sale/vaz/2121/1097155962-f7bb761b/,55 000 ₽,1990,200 000 км,внедорожник 3 дв.,белый,1.6 л / 75 л.с. / Бензин,1 050 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,******|64,,,,,
1136,Lifan X60 I,https://auto.ru/cars/used/sale/lifan/x60/1100253592-e183cdcd/,360 000 ₽,2013,123 703 км,внедорожник 5 дв.,красный,1.8 л / 128 л.с. / Бензин,3 840 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9W**************,******|777,,,,,
1137,Hyundai Creta I,https://auto.ru/cars/used/sale/hyundai/creta/1102256785-51e4ca30/,1 370 000 ₽,2018,29 700 км,внедорожник 5 дв.,серебристый,2.0 л / 149 л.с. / Бензин,4 470 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z94**************,******|164,2 года и 10 месяцев,,,До апреля 2023,
1138,Mercedes-Benz G-Класс AMG  I (W463) 55 AMG,https://auto.ru/cars/used/sale/mercedes/g_klasse_amg/1099495198-4423e62a/,2 000 000 ₽,2004,126 000 км,внедорожник 5 дв.,чёрный,5.4 л / 476 л.с. / Бензин,71 400 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WDC**************,,4 года и 11 месяцев,,,,
1139,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1092360110-f8171d00/,2 650 000 ₽,2014,49 000 км,внедорожник 5 дв.,чёрный,3.0 л / 173 л.с. / Дизель,8 650 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,RUT**************,******|164,3 года и 2 месяца,,,,
1140,BMW 1 серии  I (E81/E82/E87/E88) Рестайлинг 116i,https://auto.ru/cars/used/sale/bmw/1er/1101960668-e36f7fed/,600 000 ₽,2011,104 000 км,хэтчбек 5 дв.,белый,1.6 л / 115 л.с. / Бензин,3 450 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WBA**************,******|164,,,,,
1141,Chevrolet Aveo II,https://auto.ru/cars/used/sale/chevrolet/aveo/1102113548-86d99700/,375 000 ₽,2012,191 000 км,седан,чёрный,1.6 л / 115 л.с. / Бензин,3 450 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XUU**************,******|164,6 месяцев,,,,
1142,Hyundai ix35 I,https://auto.ru/cars/used/sale/hyundai/ix35/1094511392-436f4d84/,840 000 ₽,2012,79 000 км,внедорожник 5 дв.,коричневый,2.0 л / 150 л.с. / Бензин,4 500 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,TMA**************,******|164,,,,,
1143,LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1102154203-a46da300/,135 000 ₽,2012,155 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 81 л.с. / Бензин,1 134 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,******|64,7 месяцев,,,,
1144,Honda HR-V I,https://auto.ru/cars/used/sale/honda/hr_v/1094287414-1d96d94c/,255 000 ₽,1999,175 000 км,внедорожник 5 дв.,серый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,вариатор,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,******|64,,,1***********,,
1145,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101550110-83ab4122/,245 000 ₽,2012,113 000 км,седан,чёрный,1.6 л / 98 л.с. / Бензин,1 372 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,******|164,,,,,
1146,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1102044739-ce176715/,265 000 ₽,2013,118 000 км,внедорожник 3 дв.,белый,1.7 л / 83 л.с. / Бензин,1 162 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,,7 лет и 1 месяц,,,,
1147,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1094860276-b4c3f44b/,460 000 ₽,2016,73 600 км,седан,красный,1.6 л / 106 л.с. / Бензин,3 180 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,******|164,,,,,
1148,Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1096272511-d5e20e46/,270 000 ₽,2008,73 000 км,хэтчбек 5 дв.,серебристый,1.2 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,W0L**************,******|64,,,,,
1149,Land Rover Freelander I Рестайлинг,https://auto.ru/cars/used/sale/land_rover/freelander/1101922172-0a475d0c/,340 000 ₽,2005,203 100 км,внедорожник 5 дв.,чёрный,1.8 л / 117 л.с. / Бензин,3 510 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,SAL**************,******|58,15 лет и 6 месяцев,,,,
1150,Renault Logan I Рестайлинг,https://auto.ru/cars/used/sale/renault/logan/1099738680-cd09b008/,169 000 ₽,2012,135 000 км,седан,чёрный,1.4 л / 75 л.с. / Бензин,1 050 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,******|163,,,,,
1151,LADA (ВАЗ) 2113,https://auto.ru/cars/used/sale/vaz/2113/1101618937-34b26835/,150 000 ₽,2012,91 000 км,хэтчбек 3 дв.,серый,1.6 л / 81 л.с. / Бензин,1 134 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,XTA**************,******|56,,,,,
1152,УАЗ Patriot I Рестайлинг 3,https://auto.ru/cars/used/sale/uaz/patriot/1101943372-47be5e77/,1 250 000 ₽,2019,27 500 км,внедорожник 5 дв.,серый,2.7 л / 150 л.с. / Бензин,4 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTT**************,******|799,1 год и 1 месяц,,,До декабря 2022,
1153,Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1101560772-d3493b7b/,690 000 ₽,2012,184 406 км,хэтчбек 3 дв.,чёрный,2.0 л / 131 л.с. / Дизель,3 930 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XWF**************,******|50,7 лет и 7 месяцев,,,,
1154,"Mercedes-Benz E-Класс  IV (W212, S212, C207) 200",https://auto.ru/cars/used/sale/mercedes/e_klasse/1096395220-fc2f44da/,890 000 ₽,2011,178 000 км,седан,серый,1.8 л / 184 л.с. / Бензин,9 200 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен,WDD**************,******|64,,,,,
1155,LADA (ВАЗ) 2123,https://auto.ru/cars/used/sale/vaz/2123/1101918554-4c538ec3/,180 000 ₽,2001,150 000 км,внедорожник 5 дв.,синий,1.7 л / 79 л.с. / Бензин,1 106 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,******|64,,,,,
1156,Chevrolet Niva I,https://auto.ru/cars/used/sale/chevrolet/niva/1101930708-fe38ea1b/,250 000 ₽,2008,160 000 км,внедорожник 5 дв.,зелёный,1.7 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9L**************,******|64,,,,,
